场景模型实习生杭州电魂网络科技股份有限公司,娱乐
BMS诊断工程师（天津）新新人力,自动化
活动运营实习生广东启航校园管理服务有限公司,媒体
众安客服代表苏州贝瑞斯曼信息科技有限公司,金融投资
仿真工程师盛虹动能科技（苏州）有限公司,IT硬件
控制工程师深能南京能源控股有限公司,电力水利
招聘实习生浙江森马服饰股份有限公司,服装
设备工程师风神轮胎股份有限公司,加工制造
抖音场控实习生广州吸力科技有限公司,互联网
跨境电商运营实习生广东省广告集团股份有限公司,贸易
发动机试验工程师（南京）新新人力,自动化
算法工程师上海华为技术有限公司,电子技术
高中英语教师文山景尚中学,教育培训
游戏测试实习生广州灵感互娱科技有限公司,娱乐
园艺管理山东恒信集团有限公司,农业
校招-数字芯片验证工程师上海蔚来汽车有限公司,汽车
小学数学教师北流铜州中学,教育培训
双休可实操带教会计助理J14610北京子敬科技有限公司,会计审计
游戏行业研究，需硕士上海线下，会模型优先华泰证券股份有限公司,媒体
OA文档处理员杭州三花微通道换热器有限公司,加工制造
硬件安装工程师重庆集成天智机器人有限公司,IT硬件
编导重庆浩玩信息科技有限公司,媒体
管培生上海甜域文化传媒有限公司,媒体
审核实习生（周末双休）中软国际科技服务有限公司,IT软件
营销管培生无锡我爱安源房地产经纪有限公司,房地产
置业助理深圳市乐有家房产交易有限公司华丰分公司,房地产
招聘实习生/周末双休上海高顿教育科技有限公司,教育培训
2024校招-物流运营管培生-广州上海寻梦信息技术有限公司,物流运输
营销员江苏兴荣铜业有限公司,采掘冶炼
实习生招商银行股份有限公司信用卡中心,金融投资
